DATE_TIME,TOTAL_DAILY_YIELD of all Solar Panels
5/15/2020 0:00,0
5/15/2020 0:15,0
5/15/2020 0:30,0
5/15/2020 0:45,0
5/15/2020 1:00,0
5/15/2020 1:15,0
5/15/2020 1:30,0
5/15/2020 1:45,0
5/15/2020 2:00,0
5/15/2020 2:15,0
5/15/2020 2:45,0
5/15/2020 3:00,0
5/15/2020 3:15,0
5/15/2020 3:30,0
5/15/2020 3:45,0
5/15/2020 4:00,0
5/15/2020 4:15,0
5/15/2020 4:30,0
5/15/2020 4:45,0
5/15/2020 5:00,0
5/15/2020 5:15,0
5/15/2020 5:30,0
5/15/2020 5:45,0
5/15/2020 6:00,0
5/15/2020 6:15,61.26190476
5/15/2020 6:30,324.5297619
5/15/2020 6:45,819.5059524
5/15/2020 7:00,1717.75
5/15/2020 7:15,2751.97619
5/15/2020 7:30,3850.375
5/15/2020 7:45,4888.428572
5/15/2020 8:00,6160.821429
5/15/2020 8:15,8229.207143
5/15/2020 8:30,10969.9881
5/15/2020 8:45,13269.51786
5/15/2020 9:00,16593.17857
5/15/2020 9:15,19980.98214
5/15/2020 9:30,21888.89286
5/15/2020 9:45,24533.38095
5/15/2020 10:00,29346.73214
5/15/2020 10:15,32973.53571
5/15/2020 10:30,36823.175
5/15/2020 10:45,39799.29286
5/15/2020 11:00,43389.95357
5/15/2020 11:15,47752.7619
5/15/2020 11:30,51726.05357
5/15/2020 11:45,55271.10714
5/15/2020 12:00,59620.94643
5/15/2020 12:15,63932.30357
5/15/2020 12:30,69163.07143
5/15/2020 12:45,73879.19643
5/15/2020 13:00,77961.32143
5/15/2020 13:15,81491.80357
5/15/2020 13:30,85448.92857
5/15/2020 13:45,89618.46429
5/15/2020 14:00,94351.83929
5/15/2020 14:15,100265.4643
5/15/2020 14:30,105649.5071
5/15/2020 14:45,108951.8988
5/15/2020 15:00,112657.625
5/15/2020 15:15,115986
5/15/2020 15:30,119794.5238
5/15/2020 15:45,122858.381
5/15/2020 16:00,125887.7679
